id,created_on,operation,property_type,neighbourhood,lat,lon,price,surface_total_in_m2,surface_covered_in_m2,floor,rooms,expenses
e901e7f0ab0ad5e3b02525b842870beed397780c,2017-09-04,sell,apartment,Las Cañitas,-34.5711496,-58.4232966,640000,260,240,,5,
01c199b2cb6c7bd7959c0fcb9779b19bdddc0a73,2017-09-04,sell,house,Villa Crespo,-34.6006407,-58.4326957,365000,252,165,,,
2c8b91abfddbdd96bd88718bd16cd2b0ec01fa5d,2017-09-04,sell,apartment,Flores,-34.6348484,-58.4707722,430000,216,156,,4,
529d9d55d6059498664c678031c4250247126349,2017-09-04,sell,apartment,Flores,-34.6348484,-58.4707722,430000,216,156,,4,
1e56a8b56729a7aaad2601d65c5dbeff99f6f99d,2017-09-04,sell,apartment,San Cristobal,-34.62464,-58.409085,3050000,,51,,3,
04e041f1ce4e61a5891e9d3944d9d51c310e0161,2017-09-04,sell,apartment,Retiro,-34.590771,-58.378665,1050000,255,237,,5,
c3dbc230a4ba9ce1440dc9074ba47c40c4dd068e,2017-09-04,sell,apartment,Coghlan,-34.565023,-58.471804,134000,38,34,,1,
9cca2d2abe3a46e7baaae5794f6f75fd3034b9a6,2017-09-04,sell,apartment,Puerto Madero,-34.6150288,-58.362972,315000,57,57,,2,
b6e3350a6b0ef877eb457825b76450f45e50b294,2017-09-04,sell,apartment,Palermo Chico,-34.576792,-58.421961,310000,85,77,,4,
4e9568f2c0c4c93ff86c0d36cd9890aad0ddd833,2017-09-05,sell,apartment,Palermo Hollywood,-34.5830704,-58.4241896,483000,214,202,,,
3659b2744b0a18b92092982641423f97629d79f0,2017-09-05,sell,apartment,Palermo Soho,,,680000,215,200,,,
f579b4ab54a0af5d574c3bfca2ccb73755ff9fff,2017-09-05,sell,apartment,Barrio Norte,-34.6038556,-58.3837467,85000,28,28,,,
aded621db8874d68434ea13c9488b4f82668e374,2017-09-05,sell,apartment,Recoleta,-34.5905556,-58.3905556,1650000,420,411,,9,
a1cd9a7904b541df3f5c747817ec21f7130f0e16,2017-09-05,sell,apartment,Barrio Norte,-34.5895459,-58.3973636,590000,320,320,,5,
930327f6d8587a069303740c04b6370cc40d5d83,2017-09-05,sell,apartment,Recoleta,-34.592038,-58.3875395,900000,200,200,,4,
6552a72d60ece86e4ea2be01a40620fa7ed0b36b,2017-09-05,sell,apartment,Recoleta,-34.592038,-58.3875395,900000,200,200,,3,
3fbba608d0d7f2ab0c5a71b4524704a20eb04308,2017-09-05,sell,house,Flores,-34.6331786575,-58.475181646,318000,236,230,,,
355eeb6162065dbcbf2d17679e11b4b42f08c673,2017-09-05,sell,apartment,Barrio Norte,-34.5895459,-58.3973636,295000,100,88,,3,
3deb5f89a36a77b214bd06b4687aeeea63a0ff53,2017-09-05,sell,apartment,Puerto Madero,-34.6165637481,-58.3616205782,170000,28,28,,1,
08ce7cf001297d1b99aeb4f3034a90d5c6a4a790,2017-09-05,sell,house,Villa Urquiza,-34.5630033508,-58.4893802455,438000,372,274,,,
fbf1a6ebe9bcf6523954ed5c35a0261707e8bf3c,2017-09-05,sell,apartment,Belgrano,-34.5734236,-58.4735385,1746664,35,,,,
671a660e75111c6dfec6cfe6367596fa93f2c7fa,2017-09-05,sell,apartment,Belgrano,-34.5734236,-58.4735385,1807600,37,,,,
7643e5bd217bbd34b104a3ec710074fdf0d6c734,2017-09-05,sell,apartment,Belgrano,-34.5734236,-58.4735385,2729650,42,,,,
68c73f681a48c5d031fbd4e67d6c0e2875556483,2017-09-05,sell,apartment,Belgrano,-34.5734236,-58.4735385,2145902,43,,,,
b13231c5bf77c84e7f31d2f91f52be0242fa3344,2017-09-05,sell,apartment,Belgrano,-34.5734236,-58.4735385,2592614,45,,,,
899a273b37337c836fbf5764b581b24158bf05d5,2017-09-05,sell,apartment,Belgrano,-34.5734236,-58.4735385,4347505,81,,,,
5eec92dca6d47bfd3bb84a97fabeb551b71f9f3b,2017-09-05,sell,apartment,Belgrano,-34.5734236,-58.4735385,6951279,115,,,,
bb95aacc46c0206b9a933b3cf1bf1efa8ef491ed,2017-09-05,sell,apartment,Belgrano,-34.5734236,-58.4735385,7055303,121,,,,
4857e1c030e4174d3d12d008582394ed5321c7b0,2017-09-05,sell,apartment,Capital Federal,-34.6296288,-58.3750373,2000000,55,55,,5,555
81fe0a084882279e099496e09af025cd960eeace,2017-09-05,sell,PH,Palermo,-34.5834612,-58.4227832,379000,115,99,,3,
